"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2017 09:00:00 - 02/01/2017 09:15:00","BZN|AT","Sequence 2","48.87","",""
"02/01/2017 09:15:00 - 02/01/2017 09:30:00","BZN|AT","Sequence 2","47.3","",""
"02/01/2017 09:30:00 - 02/01/2017 09:45:00","BZN|AT","Sequence 2","48.6","",""
"02/01/2017 09:45:00 - 02/01/2017 10:00:00","BZN|AT","Sequence 2","43.7","",""
"02/01/2017 10:00:00 - 02/01/2017 10:15:00","BZN|AT","Sequence 2","50.8","",""
"02/01/2017 10:15:00 - 02/01/2017 10:30:00","BZN|AT","Sequence 2","45.57","",""
"02/01/2017 10:30:00 - 02/01/2017 10:45:00","BZN|AT","Sequence 2","48.4","",""
"02/01/2017 10:45:00 - 02/01/2017 11:00:00","BZN|AT","Sequence 2","50.72","",""
"02/01/2017 11:00:00 - 02/01/2017 11:15:00","BZN|AT","Sequence 2","51.48","",""
"02/01/2017 11:15:00 - 02/01/2017 11:30:00","BZN|AT","Sequence 2","56.0","",""
"02/01/2017 11:30:00 - 02/01/2017 11:45:00","BZN|AT","Sequence 2","49.5","",""
"02/01/2017 11:45:00 - 02/01/2017 12:00:00","BZN|AT","Sequence 2","45.8","",""
"02/01/2017 12:00:00 - 02/01/2017 12:15:00","BZN|AT","Sequence 2","57.24","",""
"02/01/2017 12:15:00 - 02/01/2017 12:30:00","BZN|AT","Sequence 2","50.9","",""
"02/01/2017 12:30:00 - 02/01/2017 12:45:00","BZN|AT","Sequence 2","47.7","",""
"02/01/2017 12:45:00 - 02/01/2017 13:00:00","BZN|AT","Sequence 2","45.84","",""
"02/01/2017 13:00:00 - 02/01/2017 13:15:00","BZN|AT","Sequence 2","56.0","",""
"02/01/2017 13:15:00 - 02/01/2017 13:30:00","BZN|AT","Sequence 2","56.0","",""
"02/01/2017 13:30:00 - 02/01/2017 13:45:00","BZN|AT","Sequence 2","53.4","",""
"02/01/2017 13:45:00 - 02/01/2017 14:00:00","BZN|AT","Sequence 2","42.0","",""
"02/01/2017 14:00:00 - 02/01/2017 14:15:00","BZN|AT","Sequence 2","44.59","",""
"02/01/2017 14:15:00 - 02/01/2017 14:30:00","BZN|AT","Sequence 2","54.0","",""
"02/01/2017 14:30:00 - 02/01/2017 14:45:00","BZN|AT","Sequence 2","48.89","",""
"02/01/2017 14:45:00 - 02/01/2017 15:00:00","BZN|AT","Sequence 2","50.5","",""
"02/01/2017 15:00:00 - 02/01/2017 15:15:00","BZN|AT","Sequence 2","46.45","",""
"02/01/2017 15:15:00 - 02/01/2017 15:30:00","BZN|AT","Sequence 2","49.64","",""
"02/01/2017 15:30:00 - 02/01/2017 15:45:00","BZN|AT","Sequence 2","54.89","",""
"02/01/2017 15:45:00 - 02/01/2017 16:00:00","BZN|AT","Sequence 2","57.01","",""
"02/01/2017 16:00:00 - 02/01/2017 16:15:00","BZN|AT","Sequence 2","44.32","",""
"02/01/2017 16:15:00 - 02/01/2017 16:30:00","BZN|AT","Sequence 2","49.5","",""
"02/01/2017 16:30:00 - 02/01/2017 16:45:00","BZN|AT","Sequence 2","70.81","",""
"02/01/2017 16:45:00 - 02/01/2017 17:00:00","BZN|AT","Sequence 2","79.2","",""
"02/01/2017 17:00:00 - 02/01/2017 17:15:00","BZN|AT","Sequence 2","60.0","",""
"02/01/2017 17:15:00 - 02/01/2017 17:30:00","BZN|AT","Sequence 2","67.5","",""
"02/01/2017 17:30:00 - 02/01/2017 17:45:00","BZN|AT","Sequence 2","72.0","",""
"02/01/2017 17:45:00 - 02/01/2017 18:00:00","BZN|AT","Sequence 2","79.85","",""
"02/01/2017 18:00:00 - 02/01/2017 18:15:00","BZN|AT","Sequence 2","67.6","",""
"02/01/2017 18:15:00 - 02/01/2017 18:30:00","BZN|AT","Sequence 2","62.27","",""
"02/01/2017 18:30:00 - 02/01/2017 18:45:00","BZN|AT","Sequence 2","61.0","",""
"02/01/2017 18:45:00 - 02/01/2017 19:00:00","BZN|AT","Sequence 2","58.2","",""
"02/01/2017 19:00:00 - 02/01/2017 19:15:00","BZN|AT","Sequence 2","70.76","",""
"02/01/2017 19:15:00 - 02/01/2017 19:30:00","BZN|AT","Sequence 2","59.4","",""
"02/01/2017 19:30:00 - 02/01/2017 19:45:00","BZN|AT","Sequence 2","51.49","",""
"02/01/2017 19:45:00 - 02/01/2017 20:00:00","BZN|AT","Sequence 2","41.84","",""
"02/01/2017 20:00:00 - 02/01/2017 20:15:00","BZN|AT","Sequence 2","81.2","",""
"02/01/2017 20:15:00 - 02/01/2017 20:30:00","BZN|AT","Sequence 2","52.0","",""
"02/01/2017 20:30:00 - 02/01/2017 20:45:00","BZN|AT","Sequence 2","38.7","",""
"02/01/2017 20:45:00 - 02/01/2017 21:00:00","BZN|AT","Sequence 2","22.5","",""
"02/01/2017 21:00:00 - 02/01/2017 21:15:00","BZN|AT","Sequence 2","59.74","",""
"02/01/2017 21:15:00 - 02/01/2017 21:30:00","BZN|AT","Sequence 2","52.1","",""
"02/01/2017 21:30:00 - 02/01/2017 21:45:00","BZN|AT","Sequence 2","32.28","",""
"02/01/2017 21:45:00 - 02/01/2017 22:00:00","BZN|AT","Sequence 2","25.38","",""
"02/01/2017 22:00:00 - 02/01/2017 22:15:00","BZN|AT","Sequence 2","58.37","",""
"02/01/2017 22:15:00 - 02/01/2017 22:30:00","BZN|AT","Sequence 2","52.77","",""
"02/01/2017 22:30:00 - 02/01/2017 22:45:00","BZN|AT","Sequence 2","33.0","",""
"02/01/2017 22:45:00 - 02/01/2017 23:00:00","BZN|AT","Sequence 2","19.45","",""
"02/01/2017 23:00:00 - 02/01/2017 23:15:00","BZN|AT","Sequence 2","56.0","",""
"02/01/2017 23:15:00 - 02/01/2017 23:30:00","BZN|AT","Sequence 2","47.55","",""
"02/01/2017 23:30:00 - 02/01/2017 23:45:00","BZN|AT","Sequence 2","25.59","",""
"02/01/2017 23:45:00 - 03/01/2017 00:00:00","BZN|AT","Sequence 2","8.07","",""
"03/01/2017 00:00:00 - 03/01/2017 00:15:00","BZN|AT","Sequence 2","45.68","",""
"03/01/2017 00:15:00 - 03/01/2017 00:30:00","BZN|AT","Sequence 2","38.91","",""
"03/01/2017 00:30:00 - 03/01/2017 00:45:00","BZN|AT","Sequence 2","32.6","",""
"03/01/2017 00:45:00 - 03/01/2017 01:00:00","BZN|AT","Sequence 2","24.57","",""
"03/01/2017 01:00:00 - 03/01/2017 01:15:00","BZN|AT","Sequence 2","47.0","",""
"03/01/2017 01:15:00 - 03/01/2017 01:30:00","BZN|AT","Sequence 2","37.4","",""
"03/01/2017 01:30:00 - 03/01/2017 01:45:00","BZN|AT","Sequence 2","34.76","",""
"03/01/2017 01:45:00 - 03/01/2017 02:00:00","BZN|AT","Sequence 2","24.0","",""
"03/01/2017 02:00:00 - 03/01/2017 02:15:00","BZN|AT","Sequence 2","38.58","",""
"03/01/2017 02:15:00 - 03/01/2017 02:30:00","BZN|AT","Sequence 2","34.6","",""
"03/01/2017 02:30:00 - 03/01/2017 02:45:00","BZN|AT","Sequence 2","32.46","",""
"03/01/2017 02:45:00 - 03/01/2017 03:00:00","BZN|AT","Sequence 2","27.65","",""
"03/01/2017 03:00:00 - 03/01/2017 03:15:00","BZN|AT","Sequence 2","34.58","",""
"03/01/2017 03:15:00 - 03/01/2017 03:30:00","BZN|AT","Sequence 2","32.68","",""
"03/01/2017 03:30:00 - 03/01/2017 03:45:00","BZN|AT","Sequence 2","34.78","",""
"03/01/2017 03:45:00 - 03/01/2017 04:00:00","BZN|AT","Sequence 2","28.4","",""
"03/01/2017 04:00:00 - 03/01/2017 04:15:00","BZN|AT","Sequence 2","28.0","",""
"03/01/2017 04:15:00 - 03/01/2017 04:30:00","BZN|AT","Sequence 2","32.0","",""
"03/01/2017 04:30:00 - 03/01/2017 04:45:00","BZN|AT","Sequence 2","30.89","",""
"03/01/2017 04:45:00 - 03/01/2017 05:00:00","BZN|AT","Sequence 2","34.16","",""
"03/01/2017 05:00:00 - 03/01/2017 05:15:00","BZN|AT","Sequence 2","18.48","",""
"03/01/2017 05:15:00 - 03/01/2017 05:30:00","BZN|AT","Sequence 2","28.0","",""
