"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|IT-North","Without sequence","110.97","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|IT-North","Without sequence","115.2","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|IT-North","Without sequence","122.0","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|IT-North","Without sequence","130.1","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|IT-North","Without sequence","129.99","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|IT-North","Without sequence","122.01","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|IT-North","Without sequence","114.18","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|IT-North","Without sequence","107.46","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|IT-North","Without sequence","102.9","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|IT-North","Without sequence","91.75","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|IT-North","Without sequence","87.53","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|IT-North","Without sequence","86.18","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|IT-North","Without sequence","85.0","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|IT-North","Without sequence","84.08","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|IT-North","Without sequence","84.98","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|IT-North","Without sequence","89.34","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|IT-North","Without sequence","106.76","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|IT-North","Without sequence","117.98","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|IT-North","Without sequence","132.63","",""
