"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"02.01.2023 12:30 - 02.01.2023 12:45","8955","9718","8262","3487","3988","3880","23965","24477","26458"
"02.01.2023 12:45 - 02.01.2023 13:00","8537","9377","7948","3634","4234","4031","23821","24280","26522"
"02.01.2023 13:00 - 02.01.2023 13:15","8044","8925","7479","3785","4469","4126","23700","24080","26158"
"02.01.2023 13:15 - 02.01.2023 13:30","7438","8244","6680","3922","4656","4140","23537","23880","25452"
"02.01.2023 13:30 - 02.01.2023 13:45","6791","7551","6117","4051","4841","4317","23336","23678","25076"
"02.01.2023 13:45 - 02.01.2023 14:00","6090","6764","5337","4177","5030","4596","23114","23484","24553"
"02.01.2023 14:00 - 02.01.2023 14:15","5377","5320","4568","4298","5205","4944","22875","23310","23878"
"02.01.2023 14:15 - 02.01.2023 14:30","4640","4555","3914","4410","5344","5120","22764","23149","23474"
"02.01.2023 14:30 - 02.01.2023 14:45","3904","3776","3213","4526","5478","5297","22657","22983","23644"
"02.01.2023 14:45 - 02.01.2023 15:00","3160","3012","2431","4636","5606","5453","22547","22819","23433"
"02.01.2023 15:00 - 02.01.2023 15:15","2475","2344","1834","4729","5188","5696","22457","22665","22958"
"02.01.2023 15:15 - 02.01.2023 15:30","1865","1761","1328","4755","5223","5917","22448","22467","22591"
"02.01.2023 15:30 - 02.01.2023 15:45","1320","1236","877","4776","5260","5998","22435","22273","22135"
"02.01.2023 15:45 - 02.01.2023 16:00","834","781","490","4795","5291","5978","22423","22074","21897"
"02.01.2023 16:00 - 02.01.2023 16:15","463","429","225","4816","5321","6017","22405","21880","21274"
"02.01.2023 16:15 - 02.01.2023 16:30","200","198","67","4841","5332","5979","22385","21732","21135"
"02.01.2023 16:30 - 02.01.2023 16:45","36","55","26","4859","5342","5936","22356","21585","21300"
"02.01.2023 16:45 - 02.01.2023 17:00","6","13","5","4883","5328","5988","22331","21435","21421"
"02.01.2023 17:00 - 02.01.2023 17:15","0","0","0","4908","5336","6009","22305","21290","21202"
"02.01.2023 17:15 - 02.01.2023 17:30","0","0","0","4937","5332","5952","22303","21216","21138"
"02.01.2023 17:30 - 02.01.2023 17:45","0","0","0","4954","5337","6016","22299","21138","21211"
"02.01.2023 17:45 - 02.01.2023 18:00","0","0","0","4985","5294","6059","22280","21056","21279"
"02.01.2023 18:00 - 02.01.2023 18:15","0","0","0","5014","5284","6127","22282","20996","21763"
"02.01.2023 18:15 - 02.01.2023 18:30","0","0","0","5026","5268","6083","22331","20966","22085"
"02.01.2023 18:30 - 02.01.2023 18:45","0","0","0","5035","5255","5990","22419","20970","22477"
"02.01.2023 18:45 - 02.01.2023 19:00","0","0","0","5044","5240","5937","22559","21046","22522"
"02.01.2023 19:00 - 02.01.2023 19:15","0","0","0","5049","5230","5911","22717","21152","22752"
"02.01.2023 19:15 - 02.01.2023 19:30","0","0","0","5050","5221","5951","22675","21112","22949"
"02.01.2023 19:30 - 02.01.2023 19:45","0","0","0","5043","5209","5862","22548","21006","22831"
"02.01.2023 19:45 - 02.01.2023 20:00","0","0","0","5043","5197","5861","22389","20865","22633"
"02.01.2023 20:00 - 02.01.2023 20:15","0","0","0","5043","5182","5899","22187","20656","22588"
"02.01.2023 20:15 - 02.01.2023 20:30","0","0","0","5028","5171","5748","21952","20427","22312"
"02.01.2023 20:30 - 02.01.2023 20:45","0","0","0","5013","5150","5619","21711","20204","22367"
"02.01.2023 20:45 - 02.01.2023 21:00","0","0","0","4999","5131","5473","21468","19988","22062"
